applicant,applicant_stage1,applicant_norm
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2232)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 228)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2313)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2323)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2396)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2875)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2919)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 2934)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 3100)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 513)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 658)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
"Pioneer Overseas Corporation (reissued with address change, old serial no. 664)",Pioneer Overseas Corporation,Pioneer Overseas Corporation
Pioneer Overseas corporation-India Branch Office,Pioneer Overseas Corporation-India Branch Office,Pioneer Overseas Corporation-India Branch Office
Prabhat Agri Biotech Limited,Prabhat Agri Biotech Limited,Prabhat Agri Biotech Limited
Prabhat Agri Biotech Ltd,Prabhat Agri Biotech Limited,Prabhat Agri Biotech Limited
Prabhat Agri Biotech Ltd.,Prabhat Agri Biotech Limited,Prabhat Agri Biotech Limited
Pravardhan Seeds Pvt Limited,Pravardhan Seeds Private Limited,Pravardhan Seeds Private Limited
Pravardhan Seeds Pvt Ltd,Pravardhan Seeds Private Limited,Pravardhan Seeds Private Limited
Pravardhan Seeds Pvt Ltd.,Pravardhan Seeds Private Limited,Pravardhan Seeds Private Limited
Premium Seeds Pvt. Ltd.,Premium Seeds Private Limited,Premium Seeds Private Limited
RJ Biotech Limited,Rj Biotech Limited,Rj Biotech Limited
Rallis India Limited,Rallis India Limited,Rallis India Limited
Rasi Hy Veg Pvt. Ltd.,Rasi Hy Veg Private Limited,Rasi Hy Veg Private Limited
"Rasi Seeds P. Ltd. (reissued with applicant name change, old serial no. 1848 (Bayer Bioscience Pvt. Ltd.))",Rasi Seeds P Limited,Rasi Seeds P Limited
Rasi Seeds Private Limited,Rasi Seeds Private Limited,Rasi Seeds Private Limited
Rasi Seeds Pvt Ltd,Rasi Seeds Private Limited,Rasi Seeds Private Limited
Rasi Seeds Pvt. Ltd.,Rasi Seeds Private Limited,Rasi Seeds Private Limited
SHEEHAN GENETICS LLC,Sheehan Genetics Llc,Sheehan Genetics Llc
Safal Seeds & Biotech Ltd.,Safal Seeds & Biotech Limited,Safal Seeds & Biotech Limited
Savannah Seeds Pvt. Ltd.,Savannah Seeds Private Limited,Savannah Seeds Private Limited
Seed Works International Ltd,Seed Works International Limited,Seed Works International Limited
Seed Works International Pvt Ltd,Seed Works International Private Limited,Seed Works International Limited
Seed Works International Pvt Ltd.,Seed Works International Private Limited,Seed Works International Limited
Seed Works International Pvt. Ltd.,Seed Works International Private Limited,Seed Works International Limited
Shakti Vardhak Sees Pvt. Ltd.,Shakti Vardhak Sees Private Limited,Shakti Vardhak Hybrid Seeds Private Limited
Signet Crop Sciences India (P) Ltd.,Signet Crop Sciences India (P) Limited,Signet Crop Sciences India (P) Limited
Siri Seeds (India) Pvt. Ltd.,Siri Seeds (India) Private Limited,Siri Seeds (India) Private Limited
Solar Agrotech Pvt Ltd,Solar Agrotech Private Limited,Solar Agrotech Private Limited
Solar Agrotech Pvt Ltd.,Solar Agrotech Private Limited,Solar Agrotech Private Limited
Soufflet Malt India Pvt Ltd,Soufflet Malt India Private Limited,Soufflet Malt India Private Limited
Soufflet Malt India Pvt. Ltd.,Soufflet Malt India Private Limited,Soufflet Malt India Private Limited
Star Agrotech Pvt. Ltd.,Star Agrotech Private Limited,Star Agrotech Private Limited
Stet Holland B.V.,Stet Holland Bv,Stet Holland Bv
Sungro Seeds Private Limited,Sungro Seeds Private Limited,Sungro Seeds Private Limited
Super Agri Seeds Pvt Ltd,Super Agri Seeds Private Limited,Super Agri Seeds Private Limited
Super Seeds Pvt. Ltd.,Super Seeds Private Limited,Super Seeds Private Limited
Syngenta India Limited,Syngenta India Limited,Syngenta India Limited
Syngenta India Pvt Ltd,Syngenta India Private Limited,Syngenta India Limited
Tierra Agrotech Private Limited,Tierra Agrotech Private Limited,Tierra Agrotech Private Limited
"Tierra Agrotech Private Limited (reissued with applicant name change, old serial no. 3076 (Monsanto Holdings Pvt. Ltd.))",Tierra Agrotech Private Limited,Tierra Agrotech Private Limited
TriMurti Plant Sciences Private Limited,Trimurti Plant Sciences Private Limited,Trimurti Plant Sciences Private Limited
Tulasi Seeds Pvt. Ltd.,Tulasi Seeds Private Limited,Tulasi Seeds Private Limited
UACI Seeds and Biotech Pvt. Ltd.,Uaci Seeds And Biotech Private Limited,Uaci Seeds And Biotech Private Limited
UNIVERSITY OF MAINE SYSTEM BOARD OF TRUSTEES,University Of Maine System Board Of Trustees,University Of Maine System Board Of Trustees
UPL Limited,Upl Limited,Upl Limited
VIBHA AGROTECH LIMITED,Vibha Agrotech Limited,Vibha Agrotech Limited
VNR Seeds Pvt Ltd,Vnr Seeds Private Limited,Vnr Seeds Private Limited
VNR Seeds Pvt. Ltd.,Vnr Seeds Private Limited,Vnr Seeds Private Limited
Vasantdada Sugar Institute,Vasantdada Sugar Institute,Vasantdada Sugar Institute
Veda Seed Sciences Pvt. Ltd.,Veda Seed Sciences Private Limited,Veda Seed Sciences Private Limited
Vibha Agrotech Limited,Vibha Agrotech Limited,Vibha Agrotech Limited
Vikram Seeds Limited,Vikram Seeds Limited,Vikram Seeds Limited
Vikram Seeds Pvt. Ltd.,Vikram Seeds Private Limited,Vikram Seeds Limited
W. Kordes Sohne Rosenschulen GMBH & CO KG,W Kordes Sohne Rosenschulen Gmbh & Co Kg,W Kordes Sohne Rosenschulen Gmbh & Co Kg
Western Agri Seeds Ltd,Western Agri Seeds Limited,Western Agri Seeds Limited
Western Agri Seeds Ltd.,Western Agri Seeds Limited,Western Agri Seeds Limited
Yaaganti Seeds Private Limited,Yaaganti Seeds Private Limited,Yaaganti Seeds Private Limited
Yaaganti Seeds Pvt Ltd,Yaaganti Seeds Private Limited,Yaaganti Seeds Private Limited
Yaaganti Seeds Pvt ltd,Yaaganti Seeds Private Limited,Yaaganti Seeds Private Limited
