Register name (as recorded),Certificates,CIN,Group assigned,Relationship,Corroborating statement in source,Source,Evidence status,Evidence tier
Bayer Biosciences Private Limited,19,[not verified],Bayer,"Fully consolidated subsidiary, Bayer interest 100 per cent","The Competition Commission of India's order records that Bayer's crop science operations in India are conducted through Bayer CropScience Limited, Bayer Seeds Private Limited, Bayer BioScience Private Limited and Bayer Vapi Limited. Bayer AG's statutory subsidiary schedule lists Bayer BioScience Pvt. Ltd, Thane, India, Bayer's interest 100 per cent, among fully consolidated subsidiaries. The register records the name as Bayer Biosciences Private Limited.","Competition Commission of India, order under section 31 in the Bayer/Monsanto combination, Combination Registration No. C-2017/08/523; Bayer AG subsidiary schedule as at 31 December 2025",Primary,2. Company or regulatory filing
Bayer Cropscience Limited,17,L24210MH1958PLC011173,Bayer,"Fully consolidated subsidiary, Bayer interest 71.4 per cent","Bayer AG's subsidiary schedule lists Bayer CropScience Limited, place of business Thane, India, Bayer's interest 71.4 per cent, among fully consolidated subsidiaries. The Global Legal Entity Identifier record for the company, LEI 529900XEDZLQSXJY7F33, fully corroborated against the Ministry of Corporate Affairs, gives the corporate identification number L24210MH1958PLC011173 and records the direct parent as Bayer AG, Leverkusen, Germany. Incorporated 9 September 1958, Registrar of Companies Mumbai, registered office Bayer House, Central Avenue, Hiranandani Estate, Thane West 400607. Corporate records further state that the company trades in seeds on behalf of group company Bayer Bioscience Pvt Ltd. NOTE: Bayer AG's schedule lists two companies of this name, Bayer CropScience Limited at Thane, India, Bayer's interest 71.4 per cent, and Bayer CropScience Limited at Reading, United Kingdom, Bayer's interest 100 per cent, the latter registered at Companies House under number 00218826. The register does not distinguish them. The Indian entity is assumed. Group assignment is unaffected either way.","Registrar of Companies, Mumbai, CIN L24210MH1958PLC011173; GLEIF LEI 529900XEDZLQSXJY7F33 recording Bayer AG as parent; Bayer AG subsidiary schedule as at 31 December 2025",Primary,2. Company or regulatory filing
Bayer Crop Sciences Ag,5,"[foreign entity, no CIN]",Bayer,"Fully consolidated subsidiary, Bayer interest 100 per cent","The schedule lists Bayer CropScience Aktiengesellschaft, place of business Monheim am Rhein, Germany, Bayer's interest 100 per cent. Aktiengesellschaft is abbreviated AG; the register records the name as Bayer Crop Sciences Ag. No other Bayer entity in the schedule carries the AG form.","Bayer AG, Subsidiaries and affiliated companies of Bayer AG and the Bayer Group as of December 31, 2025, published with the Bayer Annual Report 2025 pursuant to Section 285 Nos. 11, 11a and 11b and Section 313 of the German Commercial Code",Primary,2. Company or regulatory filing
Monsanto India Limited,19,[not verified],Bayer,"Amalgamated into Bayer CropScience Limited, 2019","The Competition Commission of India's order records that Monsanto is present in India through its subsidiaries Monsanto India Limited, Monsanto Holdings Private Limited, Monsanto Investments India Private Limited and Mahyco Monsanto Biotech (India) Private Limited. Bayer announced that on 13 September 2019 the National Company Law Tribunal approved the merger of Monsanto India Limited into Bayer CropScience Limited, shareholders receiving two Bayer CropScience shares for every three held. Bayer AG's schedule lists Bayer CropScience Limited, Thane, India, at 71.4 per cent.","Competition Commission of India, order under section 31 in the Bayer/Monsanto combination, Combination Registration No. C-2017/08/523; Bayer India press release, 16 September 2019; Bayer AG subsidiary schedule",Primary,2. Company or regulatory filing
Monsanto Holdings Private Limited,15,[not verified],Bayer,Fellow subsidiary within the Bayer group from 7 June 2018,"The Competition Commission of India's order names Monsanto Holdings Private Limited among Monsanto's Indian subsidiaries. Bayer CropScience Limited's own related party disclosure lists Monsanto Company U.S.A., Monsanto Holdings Private Limited, India, and Monsanto India Limited, India, each effective from 7 June 2018, the date Bayer AG acquired Monsanto Company. Bayer AG's schedule lists Monsanto Company, St. Louis, at 100 per cent but does not separately name the Indian entity.","Competition Commission of India, order under section 31 in the Bayer/Monsanto combination, Combination Registration No. C-2017/08/523; Bayer CropScience Limited related party transactions disclosure for the half year ended 31 March 2019; Bayer AG subsidiary schedule",Primary,5. Third party / press
Monsanto Holding Private Limited,7,[not verified],Bayer,Register spelling variant of the entry above,"Register spelling variant of Monsanto Holdings Private Limited, which the Competition Commission of India's order names among Monsanto's Indian subsidiaries. No separate company of the singular name was located.","Competition Commission of India, order under section 31 in the Bayer/Monsanto combination, Combination Registration No. C-2017/08/523",Primary for parent; spelling variant inferred,2. Company or regulatory filing
Monsanto Genetics India Private Limited,2,U15100MH1984PTC034123,Bayer,"Former Monsanto entity; amalgamated, no longer in existence","The corporate registry records Monsanto Genetics India Private Limited, CIN U15100MH1984PTC034123, incorporated 1984 at Registrar of Companies Mumbai, registered at Ahura Centre, Mahakali Caves Road, Andheri East, Mumbai 400093, the address used by Monsanto's Indian operations. Its status is recorded as Amalgamated. Its last balance sheet was filed for 31 March 2007 and its last annual general meeting held in December 2007, so it ceased to exist as a separate company more than a decade before Bayer AG acquired Monsanto Company. The receiving entity in the amalgamation is not identified in the records consulted.","Registrar of Companies, Mumbai, CIN U15100MH1984PTC034123",Entity amalgamated; receiving entity not identified,1. Corporate registry / CIN
Pioneer Overseas Corporation,175,"[foreign entity, no CIN]",Corteva,"Subsidiary of Corteva, Inc.","Exhibit 21 lists Pioneer Overseas Corporation, organised under the laws of Iowa, among the subsidiaries of Corteva, Inc. and EIDP, Inc.","Corteva, Inc., Form 10-K for FY2025, Exhibit 21 'Subsidiaries of the Registrant', filed 12 February 2026 (SEC EDGAR, CIK 1755672)",Primary,2. Company or regulatory filing
Pioneer Overseas Corporation-India Branch Office,1,"[branch office, no separate CIN]",Corteva,Branch office of the entity above,"Recorded in the register as the India branch office of Pioneer Overseas Corporation, which Corteva's Exhibit 21 lists as a subsidiary organised under the laws of Iowa. A branch office has no separate legal personality and no separate corporate identification number. Its single certificate, in pearl millet filed 2007, falls within the filing range of the parent corporation's own certificates.","Corteva, Inc., Form 10-K for FY2025, Exhibit 21 'Subsidiaries of the Registrant', filed 12 February 2026 (SEC EDGAR, CIK 1755672)",Primary for parent; branch office has no separate legal personality,5. Third party / press
Corteva Crop India Private Limited,1,U01110TG1994PTC151731,Corteva,"Subsidiary of Corteva, Inc.","Exhibit 21 lists Corteva Crop India Private Limited, organised under the laws of India, among the subsidiaries of Corteva, Inc. and EIDP, Inc. The corporate registry records CIN U01110TG1994PTC151731, incorporated 7 December 1994, Registrar of Companies Hyderabad. The record is indexed under the former name Dow AgroSciences India Private Limited.","Corteva, Inc., Form 10-K for FY2025, Exhibit 21 'Subsidiaries of the Registrant', filed 12 February 2026 (SEC EDGAR, CIK 1755672); Registrar of Companies, Hyderabad, CIN U01110TG1994PTC151731",Primary,2. Company or regulatory filing
Dow Agrosciences India Private Limited,8,U01110MH1994PTC083566 (former); U01110TG1994PTC151731 (current),Corteva,"Same legal entity as Corteva Crop India Private Limited, former name","Dow AgroSciences India Private Limited and Corteva Crop India Private Limited are one company. The corporate registry records for the two corporate identification numbers agree on every particular: incorporation on 7 December 1994, authorised share capital of Rs 620,000,000, paid-up capital of Rs 618,371,900, and registered office at V-Ascendas, Atria Block, 12th Floor, Plot No 17, Software Units Layout, Madhapur, Hyderabad 500081. The former registered office was at Godrej Business District, Vikhroli West, Mumbai, and earlier at Corporate Park, V. N. Purav Marg, Chembur, Mumbai; the change of state code from MH to TG reflects the transfer of the registered office from Maharashtra to Telangana, on which a fresh corporate identification number is issued. The registry record for the company carries both numbers against the former name. Corteva's subsidiary schedule lists Corteva Crop India Private Limited, organised under the laws of India. In the register the two applicant names hold nine certificates between them, all in maize.","Registrar of Companies records for CIN U01110MH1994PTC083566 (former) and CIN U01110TG1994PTC151731 (current); Corteva, Inc., Form 10-K for FY2025, Exhibit 21 'Subsidiaries of the Registrant', filed 12 February 2026 (SEC EDGAR, CIK 1755672)",Primary,2. Company or regulatory filing
DCM Shriram Limited,123,L74899HR1989PLC137147,DCM Shriram,Parent,"DCM Shriram Ltd's own related party disclosure identifies as subsidiaries Bioseed Research Philippines Ltd, Bioseed Holding PTE Limited and Shriram Bioseed Ventures Limited, establishing the Bioseed operations as group companies. The corporate registry records DCM Shriram Limited, incorporated 6 February 1989, Registrar of Companies Delhi, status active.","Registrar of Companies, CIN L74899HR1989PLC137147; DCM Shriram Ltd related party transactions disclosure for the half year ended 31 March 2022",Primary,1. Corporate registry / CIN
Bioseed Research India Private Limited,7,U74899DL1992PLC050504,DCM Shriram,DCM Shriram group entity; amalgamated,"The corporate registry records Bioseed Research India Limited, CIN U74899DL1992PLC050504, incorporated 1 October 1992, registered at 5th Floor, Kanchenjunga Building, 18 Barakhamba Road, New Delhi 110001, status amalgamated, last annual general meeting 3 August 2012. That is the same building as Shriram Bioseed Genetics India Limited, recorded at the 6th Floor of Kanchenjunga Building with Ajay Shridhar Shriram and Vikram Shridhar Shriram among its directors, and is DCM Shriram's Delhi address. The Customs, Excise and Service Tax Appellate Tribunal at Hyderabad records the appellant as M/s. Bioseed Research India, formerly known as M/s. Bioseed Research (India) Pvt. Ltd., of Road No. 14, Jubilee Hills, Hyderabad, engaged in developing proprietary parental lines and hybrids and licensing them to commercial seed companies for royalty, and states that during April 2008 to June 2012 the appellant had applied for registration of certain parent seeds under the Protection of Plant Varieties and Farmers' Rights Act, with registrations granted on later dates. The applications there described correspond to the certificates recorded in the register against this applicant. DCM Shriram Ltd's Annual Report 2014-15 names the Research Director of Bioseed Research India within the DCM Shriram group Executive Team.","Registrar of Companies, Delhi, CIN U74899DL1992PLC050504; Customs, Excise and Service Tax Appellate Tribunal, Hyderabad, Final Order No. A/31102/2019; Registrar of Companies, Delhi, CIN U01119DL1992PLC049649 (Shriram Bioseed Genetics India Limited); DCM Shriram Ltd, Annual Report 2014-15, Corporate Information",Primary,2. Company or regulatory filing
Rallis India Limited,41,L36992MH1948PLC014083,Tata (Rallis),Subsidiary of Tata Chemicals Ltd,"Tata Chemicals describes Rallis India as its subsidiary in announcing the acquisition of a majority stake in Metahelix Life Sciences. Rallis India's own filings to the Bombay Stock Exchange carry Corporate Identity No. L36992MH1948PLC014083. The corporate registry records incorporation on 23 August 1948, Registrar of Companies Mumbai, status active, listed.",Rallis India Limited filings to BSE Limited bearing CIN L36992MH1948PLC014083; Tata Chemicals Ltd press release on the Metahelix acquisition,Primary,1. Corporate registry / CIN
Metahelix Life Sciences Limited,16,[not verified],Tata (Rallis),"Wholly owned subsidiary of Rallis India; amalgamated into Rallis India, 2019","Rallis India acquired a majority stake of 53.5 per cent in Metahelix Life Sciences in an all-cash deal of Rs 99.5 crore, becoming its holding company. The holding rose to 77.02 per cent, then to 80.51 per cent in 2014, and to 100 per cent in FY2016, making Metahelix a wholly owned subsidiary. The Board approved a scheme of amalgamation of Metahelix into Rallis India, which received NCLT approval in December 2019.","Tata Chemicals Ltd, press release announcing Rallis India's acquisition of a majority stake in Metahelix Life Sciences; Rallis India Ltd disclosures on the Metahelix shareholding progression and the scheme of amalgamation; NCLT approval December 2019",Primary,1. Corporate registry / CIN
Advanta Enterprises Limited,38,U01100MH2022PLC383998,UPL (Advanta),"Subsidiary of UPL Limited, stated as promoter and holding company in the offer document","The draft red herring prospectus states that the promoter and holding company of the company is UPL. It records incorporation as Advanta Enterprises Private Limited on 2 June 2022 under the Companies Act 2013 at Mumbai, conversion to a public limited company by board resolution of 12 September 2022 and shareholder resolution of 21 September 2022, and a fresh certificate of incorporation dated 17 October 2022 issued by the Registrar of Companies, Maharashtra at Mumbai. Registered office Uniphos House, Madhu Park, C.D. Marg, 11th Road, Khar West, Mumbai 400052. UPL separately disclosed a holding of 78.21 per cent. NOTE: the register records 38 certificates against this applicant with filing dates from 2013 to 2023, all issued in 2024 and 2025, although the company was incorporated in June 2022. The applications appear to have been transferred on a reorganisation of UPL's seeds business and the applicant name updated at grant, but no document consulted states this.","Advanta Enterprises Limited, draft red herring prospectus dated 19 January 2026, filed with the Securities and Exchange Board of India, BSE Limited and the National Stock Exchange of India; Registrar of Companies, Mumbai, CIN U01100MH2022PLC383998; UPL Limited stock exchange filings",Primary,2. Company or regulatory filing
Advanta India Limited,8,[not verified],UPL (Advanta),Majority-owned by UPL Limited,"Advanta India Limited disclosed to the BSE that UPL, its promoter, had acquired shares from the open market taking its holding to 51.97 per cent from 49.78 per cent. It is a distinct company from Advanta Enterprises Limited, which was incorporated only on 2 June 2022: the register records Advanta India Limited's eight certificates as filed 2008 to 2012 and issued 2012 to 2017, entirely before Advanta Enterprises Limited existed.","UPL Limited (formerly United Phosphorus Limited) BSE filing recording its stake in Advanta India Limited rising to 51.97 per cent, February 2015",Primary for control; distinct from Advanta Enterprises Limited,2. Company or regulatory filing
Upl Limited,16,L24219GJ1985PLC025132,UPL (Advanta),Parent,"Advanta Enterprises Limited's own annual report identifies UPL Limited as its holding company. The Global Legal Entity Identifier record for UPL Limited, LEI 335800RJSM1SLHO4UA95, fully corroborated against the Ministry of Corporate Affairs, gives the corporate identification number L24219GJ1985PLC025132, registered office 3-11 GIDC Vapi, District Valsad, Gujarat 396195. The company was formerly named United Phosphorus Limited.","Registrar of Companies, CIN L24219GJ1985PLC025132; GLEIF LEI 335800RJSM1SLHO4UA95; Advanta Enterprises Limited Annual Report 2024-25",Primary,2. Company or regulatory filing
Limagrain India Private Limited,14,U24211TG2005PTC098468,Limagrain,Subsidiary of Vilmorin & Cie; formerly Bisco Bio Sciences Private Limited,"The corporate registry records Limagrain India Private Limited, CIN U24211TG2005PTC098468, incorporated 5 September 2005, Registrar of Companies Hyderabad, registered office Secunderabad, formerly known as Bisco Bio Sciences Private Limited, and a subsidiary of Vilmorin & Cie. Limagrain states that it entered India in 2009 through a joint venture called Atash, acquired the company Bisco in 2012-13, and that those activities became Limagrain India Private Limited in 2019. Contemporaneous record of the transaction: in May 2012 Limagrain, through its seeds holding Vilmorin & Cie, took a majority stake of 61 per cent in Bisco Bio Sciences Pvt Ltd, and Atash Seeds Pvt Ltd, previously held directly by Vilmorin & Cie, became a subsidiary of Bisco; Limagrain subsequently took full control. Vilmorin is a subsidiary of Groupe Limagrain Holding S.A., which is itself a subsidiary of Societe Cooperative Agricole Limagrain.","Registrar of Companies, Hyderabad, CIN U24211TG2005PTC098468; Groupe Limagrain Holding S.A. and Societe Cooperative Agricole Limagrain, joint filing with the United States Securities and Exchange Commission recording that Vilmorin is a subsidiary of Groupe Limagrain Holding S.A. and Groupe Limagrain is in turn a subsidiary of the Cooperative; Limagrain Field Seeds India corporate website",Primary,2. Company or regulatory filing
Limagrain Europe Sa,2,"[foreign entity, no CIN]",Limagrain,Group entity of Groupe Limagrain,"Group entity of Groupe Limagrain. Vilmorin is a subsidiary of Groupe Limagrain Holding S.A., which is itself a subsidiary of Societe Cooperative Agricole Limagrain. Limagrain Europe is the group's European field seeds business.","Groupe Limagrain Holding S.A. and Societe Cooperative Agricole Limagrain, joint filing with the United States Securities and Exchange Commission recording that Vilmorin is a subsidiary of Groupe Limagrain Holding S.A. and Groupe Limagrain is in turn a subsidiary of the Cooperative",Primary for group chain; entity-level schedule not consulted,5. Third party / press
Limagrain (Thailand) Co Limited,1,"[foreign entity, no CIN]",Limagrain,Group entity of Groupe Limagrain,"Group entity of Groupe Limagrain. Vilmorin is a subsidiary of Groupe Limagrain Holding S.A., which is itself a subsidiary of Societe Cooperative Agricole Limagrain. Limagrain Europe is the group's European field seeds business.","Groupe Limagrain Holding S.A. and Societe Cooperative Agricole Limagrain, joint filing with the United States Securities and Exchange Commission recording that Vilmorin is a subsidiary of Groupe Limagrain Holding S.A. and Groupe Limagrain is in turn a subsidiary of the Cooperative",Primary for group chain; entity-level schedule not consulted,5. Third party / press
Rasi Seeds Private Limited,48,U01112TZ1986PTC001864,Rasi,Parent,"The corporate registry records Rasi Seeds Private Limited, CIN U01112TZ1986PTC001864, incorporated 12 November 1986, Registrar of Companies Coimbatore, registered office Rasi Enclave, Green Fields 737 C, Puliyakulam Road, Coimbatore 641045, status active, directors Muthu Gounder Ramasami, Rajendran Ramasami and Sengottuvelu Senthilnathan. The registry further records the company's former names as Rasi Seeds Company Limited and Rasi Seeds Limited, which accounts for the register's variant rendering Rasi Seeds P Limited. The relationship to Rasi Hy Veg rests on the ACSEN Group's own account of the 2016 demerger.","Registrar of Companies, Coimbatore, CIN U01112TZ1986PTC001864; ACSEN Agriscience company history",Primary for identity; group relationship company communication,4. Company communication
Rasi Seeds P Limited,1,U01112TZ1986PTC001864,Rasi,Register spelling variant of the entry above,Same legal entity as Rasi Seeds Private Limited. The corporate registry records former names Rasi Seeds Company Limited and Rasi Seeds Limited for CIN U01112TZ1986PTC001864; the register's rendering abbreviates Private to P.,"Registrar of Companies, Coimbatore, CIN U01112TZ1986PTC001864",Primary,5. Third party / press
Rasi Hy Veg Private Limited,1,U01407TZ2009PTC028336,Acsen (not merged with Rasi),"SAME LEGAL ENTITY as Acsen Agriscience Private Limited, former name","The corporate registry records Acsen Agriscience Private Limited, CIN U01407TZ2009PTC028336, incorporated 22 July 2009 at the Registrar of Companies Coimbatore, as formerly known as Rasi Hyveg Private Limited; the same corporate identification number is separately indexed under the name Acsen HyVeg Private Limited. ACSEN's own history records that Rasi Seeds launched a vegetable seed division, HyVeg, in 2009, that ACSEN was created after demerging from Rasi Seeds, and that ACSEN Agriscience was formerly known as ACSEN HyVeg. The chain is therefore Rasi HyVeg Private Limited, then Acsen HyVeg Private Limited, then Acsen Agriscience Private Limited, under one corporate identification number throughout. CORRECTION: this certificate was previously grouped with Rasi Seeds. Because the entity is the same company as Acsen Agriscience, and Acsen was considered and not merged with Rasi following the 2016 demerger, the certificate is counted with Acsen and not with Rasi.","Registrar of Companies, Coimbatore, CIN U01407TZ2009PTC028336; ACSEN Agriscience company history",Primary,4. Company communication
Emergent Genetics India Private Limited,1,[not verified],Bayer,Merged into Monsanto Holdings Private Limited,"Monsanto announced an agreement to acquire Emergent Genetics Inc. of Boulder, Colorado, the third-largest cotton seed company in the United States, for USD 300 million, noting that Emergent held two cotton seed brands in India. A submission to the Competition Commission of India records that Emergent Genetics, which had acquired the cotton seed businesses of Hindustan Lever, ITC and Mahindra, was ultimately merged into Monsanto Holdings Private Limited. Bayer AG's statutory schedule lists Monsanto Company at 100 per cent. The acquisition of the parent is documented; the merger of the Indian entity into Monsanto Holdings rests on the Commission submission rather than on a company filing.",Monsanto Company announcement of the Emergent Genetics acquisition; submission to the Competition Commission of India on the Bayer/Monsanto combination; Bayer AG subsidiary schedule,Primary for parent acquisition; Indian merger from a regulatory submission,5. Third party / press
Devgen Nv,16,[not verified],Syngenta,Acquired by Syngenta; remaining interest taken 2013,"Syngenta's Form 20-F records that it acquired the interest in Devgen it did not already own, following settlement of the initial takeover offer in December 2012.","Syngenta AG, Form 20-F for FY2013, SEC",Primary,2. Company or regulatory filing
Nunhems India Private Limited,16,[not verified],BASF,"Acquired with Bayer's global vegetable seeds business, 2018","BASF records that it closed the acquisition of Bayer's global vegetable seeds business, operating mainly under the Nunhems trademark, on 16 August 2018, as part of the divestiture Bayer made in the context of its Monsanto takeover.","BASF SE, Online Report 2018, acquisitions and divestitures; BASF media release, 16 August 2018",Primary,5. Third party / press
Bisco Biosciences Private Limited,23,U24211TG2005PTC098468,Limagrain,"SAME LEGAL ENTITY as Limagrain India Private Limited, former name",The corporate registry records CIN U24211TG2005PTC098468 under the current name Limagrain India Private Limited and the former name Bisco Bio Sciences Private Limited. The register carries certificates under both names: 23 filed 2009 to 2016 as Bisco Biosciences and 14 filed 2016 to 2021 as Limagrain India.,"Registrar of Companies, Hyderabad, CIN U24211TG2005PTC098468",Primary,1. Corporate registry / CIN
